id,Edificio,P1a,P1b,P2,P3,P4,P5a,P5b,P5c,P5d,P6,P7,P8,P9,P10a,P10b,P10c,P10d,P11,P12,P13,P14,P15,P16
63,6,1,1,1,2,3,0,0,0,1,2,3,2,1,0,1,0,0,3,4,2,1,2,2
64,6,1,1,1,3,3,0,1,0,0,1,1,2,1,1,1,2,1,3,3,1,1,2,2
65,6,2,3,3,3,3,2,1,2,3,3,2,3,2,2,3,2,3,3,3,3,1,2,2
66,6,1,1,1,3,3,3,3,1,1,2,3,3,1,1,1,2,2,2,3,3,3,2,2
67,6,1,1,1,1,1,3,1,2,3,1,1,1,1,2,2,3,2,3,2,2,2,2,2
68,6,3,3,3,3,3,1,1,2,1,2,2,3,2,2,1,1,2,3,4,3,3,2,2
69,6,2,1,2,1,1,0,0,0,1,3,3,2,1,1,1,1,1,3,3,2,2,2,2
70,6,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2
71,6,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2
72,6,2,3,2,2,1,2,2,2,3,2,3,2,2,2,2,3,3,3,3,2,1,2,1
73,6,1,1,2,2,3,3,2,1,2,2,3,2,2,2,2,3,2,3,4,2,3,2,2
74,6,0,0,1,3,3,3,3,2,1,3,3,2,1,2,2,2,2,3,3,2,3,2,2
75,6,2,1,1,2,1,2,2,2,2,2,3,2,1,1,1,2,1,3,3,2,1,2,2
76,6,3,0,3,3,3,0,0,1,0,3,3,3,2,0,0,0,1,3,3,3,3,2,2
77,6,2,1,2,2,1,2,0,0,0,1,3,3,3,3,3,3,2,3,3,3,2,2,2
78,6,2,3,1,2,1,2,3,2,3,3,3,2,1,1,1,2,2,3,3,2,1,2,2
79,6,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,3,3,3,0,2,2
80,6,3,3,3,3,3,3,3,0,2,3,3,3,2,2,0,2,3,3,3,3,3,2,2
81,6,1,1,1,3,3,3,2,2,3,3,3,3,1,1,1,1,1,3,3,2,1,1,2
82,6,1,1,2,3,3,2,2,2,1,3,3,2,2,2,2,2,1,3,3,3,3,2,2
83,6,0,1,1,2,1,1,2,3,3,1,1,1,1,1,1,1,1,1,3,1,1,2,2
84,6,1,3,3,3,1,2,2,3,2,2,1,2,2,2,2,3,3,3,3,3,2,2,2
85,6,1,1,1,3,3,2,2,1,2,3,3,2,1,1,1,3,2,3,3,3,3,2,2
86,6,1,1,1,2,1,2,3,2,2,3,3,2,2,2,2,2,2,3,4,1,1,2,2
87,6,1,1,2,1,1,2,2,2,3,2,3,2,1,1,2,2,2,3,3,2,1,2,2
88,6,3,3,3,2,3,2,2,2,2,2,2,3,2,1,0,2,2,3,3,3,1,2,2
89,6,1,1,3,3,3,0,0,0,1,3,3,2,3,3,3,3,3,3,3,3,2,1,2
90,6,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,3,3,1,3,2,2
91,6,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,4,2,1,2,2
92,6,3,3,3,3,3,3,3,3,1,3,3,3,2,2,3,3,3,3,4,3,3,2,2
93,6,3,3,2,1,3,3,3,2,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2
94,6,2,3,2,2,1,2,3,2,2,0,2,3,0,0,0,0,0,3,4,2,2,2,2
95,6,1,1,2,1,1,2,2,3,3,2,3,2,2,2,2,2,2,3,3,1,1,0,2
96,6,0,1,1,3,3,2,2,2,2,3,3,3,3,3,2,2,3,3,3,2,1,2,2
97,6,1,3,2,1,3,2,2,3,2,2,2,2,1,1,2,1,2,3,3,2,1,2,2
98,12,3,3,2,3,3,3,3,1,1,3,3,3,1,1,1,1,1,3,3,3,3,2,2
99,12,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,0,3,1,0,2,2
100,12,1,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,2,1,3,1,1
101,11,1,1,2,2,1,2,2,3,3,2,2,2,1,1,1,2,2,3,3,2,1,2,2
102,11,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,4,3,3,2,2
103,11,3,3,1,3,3,1,3,2,1,3,3,3,1,1,1,1,1,3,4,3,1,1,2
104,11,1,1,1,3,3,1,1,3,3,3,3,2,1,1,1,1,1,2,3,3,3,1,2
105,11,1,3,1,1,1,2,3,2,2,3,3,2,1,1,1,1,1,2,4,1,3,2,2
106,10,2,1,2,1,1,3,2,3,3,2,3,3,3,2,3,2,2,3,4,2,2,2,2
107,10,3,0,1,2,3,2,3,0,0,2,3,3,0,0,0,0,0,2,3,2,1,2,2
108,10,2,3,3,3,3,2,2,2,2,2,2,3,1,1,2,2,2,3,3,3,3,2,2
109,10,2,1,1,2,1,2,2,3,3,2,2,3,2,2,2,2,2,3,3,2,1,1,2
110,10,2,3,1,1,1,2,3,3,3,3,3,3,1,2,2,3,2,2,3,3,1,2,2
111,10,2,3,2,2,1,2,2,2,2,2,2,0,0,2,2,2,2,2,3,0,0,0,0
112,10,3,3,2,2,1,2,2,1,3,2,2,3,1,1,1,3,1,3,3,2,1,2,2
113,10,2,3,2,2,1,3,3,2,2,3,2,2,1,2,1,1,1,3,3,3,1,2,2
114,10,3,3,2,3,3,2,2,1,2,3,3,3,2,2,2,2,2,3,4,3,1,2,2
115,10,2,1,1,1,1,2,1,1,3,1,2,1,1,2,1,1,2,2,2,2,2,2,2
116,10,1,1,1,1,1,1,1,2,3,3,3,1,2,1,1,1,1,3,3,1,3,2,2
117,10,3,3,3,3,1,2,3,1,1,3,3,3,1,1,1,2,1,3,3,3,3,2,2
118,10,2,3,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,1,2,2
